timestamp,pod,cpu_m,mem_mi
1788204119,s2-5f46b67bc6-pswkd,160,122
1788204119,s3-79b96b87f7-8n5lq,56,134
1788204124,gw-nginx-554c75559c-97p9m,8,8
1788204124,s0-7858bb7b56-4c22f,126,141
1788204124,s1-7d66c7d4c5-97jlk,99,141
1788204124,s2-5f46b67bc6-pswkd,126,123
1788204124,s3-79b96b87f7-8n5lq,57,134
1788204129,gw-nginx-554c75559c-97p9m,8,8
1788204129,s0-7858bb7b56-4c22f,126,141
1788204129,s1-7d66c7d4c5-97jlk,99,141
1788204129,s2-5f46b67bc6-pswkd,126,123
1788204129,s3-79b96b87f7-8n5lq,57,134
1788204134,gw-nginx-554c75559c-97p9m,8,8
1788204134,s0-7858bb7b56-4c22f,126,141
1788204134,s1-7d66c7d4c5-97jlk,99,141
1788204134,s2-5f46b67bc6-pswkd,126,123
1788204134,s3-79b96b87f7-8n5lq,57,134
1788204139,gw-nginx-554c75559c-97p9m,8,8
1788204139,s0-7858bb7b56-4c22f,126,141
1788204139,s1-7d66c7d4c5-97jlk,107,141
1788204139,s2-5f46b67bc6-pswkd,187,122
1788204139,s3-79b96b87f7-8n5lq,56,134
1788204144,gw-nginx-554c75559c-97p9m,8,8
1788204144,s0-7858bb7b56-4c22f,126,141
1788204144,s1-7d66c7d4c5-97jlk,107,141
1788204144,s2-5f46b67bc6-pswkd,187,122
1788204144,s3-79b96b87f7-8n5lq,56,134
1788204149,gw-nginx-554c75559c-97p9m,8,8
1788204149,s0-7858bb7b56-4c22f,126,141
1788204149,s1-7d66c7d4c5-97jlk,107,141
1788204149,s2-5f46b67bc6-pswkd,187,122
1788204149,s3-79b96b87f7-8n5lq,56,134
1788204154,gw-nginx-554c75559c-97p9m,6,8
1788204154,s0-7858bb7b56-4c22f,112,141
1788204154,s1-7d66c7d4c5-97jlk,89,142
1788204154,s2-5f46b67bc6-pswkd,154,123
1788204154,s3-79b96b87f7-8n5lq,49,134
1788204159,gw-nginx-554c75559c-97p9m,6,8
1788204159,s0-7858bb7b56-4c22f,112,141
1788204159,s1-7d66c7d4c5-97jlk,89,142
1788204159,s2-5f46b67bc6-pswkd,154,123
1788204159,s3-79b96b87f7-8n5lq,49,134
1788204165,gw-nginx-554c75559c-97p9m,6,8
1788204165,s0-7858bb7b56-4c22f,112,141
1788204165,s1-7d66c7d4c5-97jlk,89,142
1788204165,s2-5f46b67bc6-pswkd,154,123
1788204165,s3-79b96b87f7-8n5lq,49,134
1788204170,gw-nginx-554c75559c-97p9m,8,7
1788204170,s0-7858bb7b56-4c22f,128,142
1788204170,s1-7d66c7d4c5-97jlk,94,142
1788204170,s2-5f46b67bc6-pswkd,188,123
1788204170,s3-79b96b87f7-8n5lq,49,134
1788204175,gw-nginx-554c75559c-97p9m,8,7
1788204175,s0-7858bb7b56-4c22f,128,142
1788204175,s1-7d66c7d4c5-97jlk,94,142
1788204175,s2-5f46b67bc6-pswkd,188,123
1788204175,s3-79b96b87f7-8n5lq,49,134
1788204180,gw-nginx-554c75559c-97p9m,8,7
1788204180,s0-7858bb7b56-4c22f,128,142
1788204180,s1-7d66c7d4c5-97jlk,94,142
1788204180,s2-5f46b67bc6-pswkd,188,123
1788204180,s3-79b96b87f7-8n5lq,49,134
1788204185,gw-nginx-554c75559c-97p9m,8,8
1788204185,s0-7858bb7b56-4c22f,127,141
1788204185,s1-7d66c7d4c5-97jlk,106,142
1788204185,s2-5f46b67bc6-pswkd,177,123
1788204185,s3-79b96b87f7-8n5lq,57,134
1788204190,gw-nginx-554c75559c-97p9m,8,8
1788204190,s0-7858bb7b56-4c22f,127,141
1788204190,s1-7d66c7d4c5-97jlk,106,142
1788204190,s2-5f46b67bc6-pswkd,177,123
1788204190,s3-79b96b87f7-8n5lq,57,134
1788204195,gw-nginx-554c75559c-97p9m,8,8
1788204195,s0-7858bb7b56-4c22f,127,141
1788204195,s1-7d66c7d4c5-97jlk,106,142
1788204195,s2-5f46b67bc6-pswkd,177,123
1788204195,s3-79b96b87f7-8n5lq,57,134
1788204200,gw-nginx-554c75559c-97p9m,8,7
1788204200,s0-7858bb7b56-4c22f,118,142
1788204200,s1-7d66c7d4c5-97jlk,97,143
1788204200,s2-5f46b67bc6-pswkd,177,123
1788204200,s3-79b96b87f7-8n5lq,55,135
1788204205,gw-nginx-554c75559c-97p9m,8,7
1788204205,s0-7858bb7b56-4c22f,118,142
1788204205,s1-7d66c7d4c5-97jlk,97,143
1788204205,s2-5f46b67bc6-pswkd,177,123
1788204205,s3-79b96b87f7-8n5lq,55,135
1788204210,gw-nginx-554c75559c-97p9m,8,7
1788204210,s0-7858bb7b56-4c22f,118,142
1788204210,s1-7d66c7d4c5-97jlk,97,143
1788204210,s2-5f46b67bc6-pswkd,177,123
1788204210,s3-79b96b87f7-8n5lq,55,135
1788204215,gw-nginx-554c75559c-97p9m,9,7
1788204215,s0-7858bb7b56-4c22f,143,141
1788204215,s1-7d66c7d4c5-97jlk,97,143
1788204215,s2-5f46b67bc6-pswkd,215,124
1788204215,s3-79b96b87f7-8n5lq,60,135
1788204220,gw-nginx-554c75559c-97p9m,9,7
1788204220,s0-7858bb7b56-4c22f,143,141
1788204220,s1-7d66c7d4c5-97jlk,97,143
1788204220,s2-5f46b67bc6-pswkd,215,124
1788204220,s3-79b96b87f7-8n5lq,60,135
1788204225,gw-nginx-554c75559c-97p9m,9,7
1788204225,s0-7858bb7b56-4c22f,143,141
1788204225,s1-7d66c7d4c5-97jlk,97,143
1788204225,s2-5f46b67bc6-pswkd,215,124
1788204225,s3-79b96b87f7-8n5lq,60,135
