timestamp,pod,cpu_m,mem_mi
1788204879,s1-7d66c7d4c5-97jlk,411,153
1788204879,s2-5f46b67bc6-pswkd,794,137
1788204879,s3-79b96b87f7-8n5lq,268,143
1788204884,gw-nginx-554c75559c-97p9m,23,8
1788204884,s0-7858bb7b56-4c22f,438,153
1788204884,s1-7d66c7d4c5-97jlk,411,153
1788204884,s2-5f46b67bc6-pswkd,794,137
1788204884,s3-79b96b87f7-8n5lq,268,143
1788204889,gw-nginx-554c75559c-97p9m,23,8
1788204889,s0-7858bb7b56-4c22f,445,154
1788204889,s1-7d66c7d4c5-97jlk,391,154
1788204889,s2-5f46b67bc6-pswkd,795,137
1788204889,s3-79b96b87f7-8n5lq,256,143
1788204894,gw-nginx-554c75559c-97p9m,23,8
1788204894,s0-7858bb7b56-4c22f,445,154
1788204894,s1-7d66c7d4c5-97jlk,391,154
1788204894,s2-5f46b67bc6-pswkd,795,137
1788204894,s3-79b96b87f7-8n5lq,256,143
1788204899,gw-nginx-554c75559c-97p9m,23,8
1788204899,s0-7858bb7b56-4c22f,445,154
1788204899,s1-7d66c7d4c5-97jlk,391,154
1788204899,s2-5f46b67bc6-pswkd,795,137
1788204899,s3-79b96b87f7-8n5lq,256,143
1788204904,gw-nginx-554c75559c-97p9m,23,8
1788204904,s0-7858bb7b56-4c22f,426,154
1788204904,s1-7d66c7d4c5-97jlk,397,154
1788204904,s2-5f46b67bc6-pswkd,799,138
1788204904,s3-79b96b87f7-8n5lq,253,144
1788204909,gw-nginx-554c75559c-97p9m,23,8
1788204909,s0-7858bb7b56-4c22f,426,154
1788204909,s1-7d66c7d4c5-97jlk,397,154
1788204909,s2-5f46b67bc6-pswkd,799,138
1788204909,s3-79b96b87f7-8n5lq,253,144
1788204914,gw-nginx-554c75559c-97p9m,23,8
1788204914,s0-7858bb7b56-4c22f,426,154
1788204914,s1-7d66c7d4c5-97jlk,397,154
1788204914,s2-5f46b67bc6-pswkd,799,138
1788204914,s3-79b96b87f7-8n5lq,253,144
1788204919,gw-nginx-554c75559c-97p9m,14,8
1788204919,s0-7858bb7b56-4c22f,239,154
1788204919,s1-7d66c7d4c5-97jlk,312,153
1788204919,s2-5f46b67bc6-pswkd,472,138
1788204919,s3-79b96b87f7-8n5lq,150,144
1788204924,gw-nginx-554c75559c-97p9m,14,8
1788204924,s0-7858bb7b56-4c22f,239,154
1788204924,s1-7d66c7d4c5-97jlk,312,153
1788204924,s2-5f46b67bc6-pswkd,472,138
1788204924,s3-79b96b87f7-8n5lq,150,144
1788204929,gw-nginx-554c75559c-97p9m,14,8
1788204929,s0-7858bb7b56-4c22f,239,154
1788204929,s1-7d66c7d4c5-97jlk,312,153
1788204929,s2-5f46b67bc6-pswkd,472,138
1788204929,s3-79b96b87f7-8n5lq,150,144
1788204934,gw-nginx-554c75559c-97p9m,14,8
1788204934,s0-7858bb7b56-4c22f,387,155
1788204934,s1-7d66c7d4c5-97jlk,270,155
1788204934,s2-5f46b67bc6-pswkd,553,138
1788204934,s3-79b96b87f7-8n5lq,190,144
1788204939,gw-nginx-554c75559c-97p9m,14,8
1788204939,s0-7858bb7b56-4c22f,387,155
1788204939,s1-7d66c7d4c5-97jlk,270,155
1788204939,s2-5f46b67bc6-pswkd,553,138
1788204939,s3-79b96b87f7-8n5lq,190,144
1788204944,gw-nginx-554c75559c-97p9m,14,8
1788204944,s0-7858bb7b56-4c22f,387,155
1788204944,s1-7d66c7d4c5-97jlk,270,155
1788204944,s2-5f46b67bc6-pswkd,553,138
1788204944,s3-79b96b87f7-8n5lq,190,144
1788204949,gw-nginx-554c75559c-97p9m,19,7
1788204949,s0-7858bb7b56-4c22f,368,155
1788204949,s1-7d66c7d4c5-97jlk,280,155
1788204949,s2-5f46b67bc6-pswkd,802,139
1788204949,s3-79b96b87f7-8n5lq,206,144
1788204954,gw-nginx-554c75559c-97p9m,19,7
1788204954,s0-7858bb7b56-4c22f,368,155
1788204954,s1-7d66c7d4c5-97jlk,280,155
1788204954,s2-5f46b67bc6-pswkd,802,139
1788204954,s3-79b96b87f7-8n5lq,206,144
1788204959,gw-nginx-554c75559c-97p9m,19,7
1788204959,s0-7858bb7b56-4c22f,368,155
1788204959,s1-7d66c7d4c5-97jlk,280,155
1788204959,s2-5f46b67bc6-pswkd,802,139
1788204959,s3-79b96b87f7-8n5lq,206,144
1788204965,gw-nginx-554c75559c-97p9m,24,8
1788204965,s0-7858bb7b56-4c22f,479,155
1788204965,s1-7d66c7d4c5-97jlk,420,155
1788204965,s2-5f46b67bc6-pswkd,750,139
1788204965,s3-79b96b87f7-8n5lq,257,145
1788204970,gw-nginx-554c75559c-97p9m,24,8
1788204970,s0-7858bb7b56-4c22f,479,155
1788204970,s1-7d66c7d4c5-97jlk,420,155
1788204970,s2-5f46b67bc6-pswkd,750,139
1788204970,s3-79b96b87f7-8n5lq,257,145
1788204975,gw-nginx-554c75559c-97p9m,24,8
1788204975,s0-7858bb7b56-4c22f,479,155
1788204975,s1-7d66c7d4c5-97jlk,420,155
1788204975,s2-5f46b67bc6-pswkd,750,139
1788204975,s3-79b96b87f7-8n5lq,257,145
1788204980,gw-nginx-554c75559c-97p9m,21,9
1788204980,s0-7858bb7b56-4c22f,479,155
1788204980,s1-7d66c7d4c5-97jlk,394,155
1788204980,s2-5f46b67bc6-pswkd,759,139
1788204980,s3-79b96b87f7-8n5lq,244,145
1788204985,gw-nginx-554c75559c-97p9m,21,9
1788204985,s0-7858bb7b56-4c22f,479,155
1788204985,s1-7d66c7d4c5-97jlk,394,155
1788204985,s2-5f46b67bc6-pswkd,759,139
1788204985,s3-79b96b87f7-8n5lq,244,145
1788204990,gw-nginx-554c75559c-97p9m,21,9
1788204990,s0-7858bb7b56-4c22f,479,155
1788204990,s1-7d66c7d4c5-97jlk,394,155
1788204990,s2-5f46b67bc6-pswkd,759,139
1788204990,s3-79b96b87f7-8n5lq,244,145
1788204995,gw-nginx-554c75559c-97p9m,21,8
1788204995,s0-7858bb7b56-4c22f,382,156
1788204995,s1-7d66c7d4c5-97jlk,351,156
1788204995,s2-5f46b67bc6-pswkd,801,139
1788204995,s3-79b96b87f7-8n5lq,211,145
1788205000,gw-nginx-554c75559c-97p9m,21,8
1788205000,s0-7858bb7b56-4c22f,382,156
1788205000,s1-7d66c7d4c5-97jlk,351,156
1788205000,s2-5f46b67bc6-pswkd,801,139
1788205000,s3-79b96b87f7-8n5lq,211,145
1788205005,gw-nginx-554c75559c-97p9m,21,8
1788205005,s0-7858bb7b56-4c22f,382,156
1788205005,s1-7d66c7d4c5-97jlk,351,156
1788205005,s2-5f46b67bc6-pswkd,801,139
1788205005,s3-79b96b87f7-8n5lq,211,145
1788205010,gw-nginx-554c75559c-97p9m,25,8
1788205010,s0-7858bb7b56-4c22f,466,156
1788205010,s1-7d66c7d4c5-97jlk,418,156
1788205010,s2-5f46b67bc6-pswkd,788,139
1788205010,s3-79b96b87f7-8n5lq,270,146
1788205015,gw-nginx-554c75559c-97p9m,25,8
1788205015,s0-7858bb7b56-4c22f,466,156
1788205015,s1-7d66c7d4c5-97jlk,418,156
1788205015,s2-5f46b67bc6-pswkd,788,139
1788205015,s3-79b96b87f7-8n5lq,270,146
1788205020,gw-nginx-554c75559c-97p9m,25,8
1788205020,s0-7858bb7b56-4c22f,466,156
1788205020,s1-7d66c7d4c5-97jlk,418,156
1788205020,s2-5f46b67bc6-pswkd,788,139
1788205020,s3-79b96b87f7-8n5lq,270,146
